#	queens	moves	run time
1	1	5	1280998
2	1	2	106990
3	3	3	152979
4	1	4	199288
5	1	0	43434
6	1	3	130623
7	1	6	268272
8	2	4	106670
9	2	0	16288
10	1	3	75052
11	3	0	15330
12	1	1	51738
13	3	0	15330
14	1	2	57486
15	1	2	55889
16	1	1	40241
17	1	1	37047
18	1	1	38006
19	1	4	97727
20	2	4	99005
21	2	4	88466
22	3	0	172141
23	1	1	37367
24	2	0	13414
25	1	5	110502
26	1	3	59723
27	1	2	46947
28	2	2	41518
29	2	4	75691
30	1	5	100282
31	2	3	58445
32	2	0	12455
33	3	0	12455
34	1	4	80162
35	2	5	105393
36	1	6	135733
37	3	0	12455
38	1	7	142121
39	1	7	142121
40	1	3	68665
41	2	0	12455
42	1	1	30660
43	1	3	62278
44	1	1	30660
45	2	4	106031
46	1	4	73455
47	1	2	40880
48	2	4	73775
49	2	2	70901
50	4	0	11817
51	3	1	26827
52	1	2	41199
53	1	4	69942
54	1	5	81121
55	1	1	27785
56	2	2	38644
57	2	0	46628
58	3	4	89744
59	1	4	68345
60	2	2	38324
61	2	1	25230
62	2	0	12136
63	1	5	133178
64	1	3	54932
65	2	1	27785
66	2	1	25549
67	1	2	40560
68	1	2	50461
69	2	4	80801
70	1	3	54613
71	2	0	12455
72	2	8	124235
73	1	8	210466
74	1	3	62597
75	1	2	42157
76	2	8	160325
77	1	1	23953
78	1	4	45670
79	1	1	20440
80	2	3	36728
81	2	1	17565
82	2	3	52057
83	1	6	80162
84	1	6	67707
85	1	1	22356
86	2	1	18843
87	3	1	19163
88	1	2	29062
89	1	3	48863
90	1	1	20759
91	2	5	55890
92	2	6	72817
93	1	2	28105
94	2	3	37047
95	2	2	28424
96	1	4	45671
97	1	6	66429
98	3	0	8623
99	1	3	37686
100	1	8	90701
101	1	1	19163
102	1	3	38644
103	3	1	19163
104	1	1	22675
105	1	7	76649
106	2	6	99644
107	2	0	8304
108	1	2	28424
109	2	1	18842
110	1	2	28424
111	2	5	54612
112	2	3	36408
113	2	4	44073
114	2	4	47587
115	1	4	46947
116	1	0	10539
117	1	1	27466
118	2	0	9900
119	1	1	21398
120	2	7	98047
121	1	5	440732
122	1	2	31618
123	1	7	82717
124	4	0	8623
125	2	1	18204
126	1	3	38005
127	2	2	26508
128	2	2	29063
129	1	3	37686
130	1	5	56209
131	1	4	56529
132	1	3	41199
133	1	2	28105
134	2	3	38324
135	3	0	8303
136	2	2	39602
137	2	0	8942
138	1	0	11178
139	2	3	36089
140	1	4	46628
141	2	4	44712
142	1	5	6131929
143	2	4	52058
144	2	0	9262
145	1	2	31298
146	3	2	27785
147	2	3	42157
148	3	0	8943
149	2	0	14052
150	1	2	37686
151	2	1	18843
152	1	0	10858
153	2	0	8623
154	1	0	11178
155	1	2	32256
156	3	2	28743
157	2	3	36089
158	1	1	19482
159	1	1	19481
160	1	5	54932
161	2	4	45350
162	1	6	65152
163	1	2	29702
164	1	4	49502
165	1	0	11497
166	1	3	37047
167	4	0	8303
168	2	3	38005
169	2	5	57806
170	1	3	39602
171	1	4	45990
172	2	0	8303
173	2	3	35131
174	1	0	10539
175	1	2	28424
176	2	2	26827
177	1	3	38324
178	1	3	36408
179	2	2	28424
180	1	0	10858
181	3	1	18204
182	1	1	19163
183	1	4	45031
184	1	2	27466
185	1	3	36728
186	3	1	18204
187	2	3	36727
188	2	2	26827
189	2	3	35769
190	2	3	42157
191	2	4	44073
192	2	3	36089
193	1	5	57487
194	2	4	47586
195	1	4	48863
196	1	4	48864
197	2	4	47906
198	2	4	45350
199	3	0	7984
200	1	1	27785
201	2	4	71859
202	2	3	36727
203	4	0	8303
204	2	1	18524
205	1	7	81759
206	1	4	53654
207	1	3	37686
208	2	2	26507
209	2	3	36728
210	3	0	8623
211	2	1	18205
212	1	1	20440
213	1	3	43434
214	1	8	94534
215	2	2	29382
216	1	2	30340
217	2	1	19163
218	2	5	54612
219	1	0	10539
220	1	4	58445
221	1	2	32895
222	1	2	30021
223	1	6	66430
224	1	6	63235
225	3	0	8303
226	1	6	80801
227	1	4	41519
228	1	4	40880
229	1	2	24592
230	2	1	16287
231	2	2	26189
232	1	6	58445
233	2	0	7985
234	1	1	16607
235	1	1	16607
236	1	3	31937
237	1	5	51100
238	2	2	24911
239	1	2	24273
240	1	1	16608
241	1	4	38644
242	1	2	24272
243	3	0	7985
244	2	6	61319
245	1	3	32576
246	1	3	30979
247	2	0	7985
248	1	2	24272
249	2	4	40241
250	2	5	80162
251	1	0	9261
252	1	4	39922
253	3	0	13733
254	2	6	65790
255	1	3	32895
256	1	2	34811
257	2	1	21717
258	1	3	45031
259	1	3	36408
260	2	5	49502
261	1	3	76010
262	2	7	71859
263	1	4	40879
264	2	3	32895
265	3	5	51419
266	3	0	11817
267	1	0	11497
268	1	7	69623
269	1	4	39283
270	3	0	7984
271	4	0	7985
272	2	1	15649
273	2	3	30660
274	1	3	29702
275	1	2	24273
276	1	2	23314
277	1	3	30979
278	1	3	30979
279	1	6	54612
280	1	3	39282
281	1	2	24592
282	1	4	39602
283	1	2	22676
284	2	4	38644
285	1	0	8303
286	2	0	7346
287	3	2	23634
288	1	2	22675
289	4	0	7664
290	2	4	40560
291	1	6	56848
292	2	2	87827
293	2	3	31937
294	1	2	22995
295	1	1	15330
296	2	6	171502
297	1	3	35450
